label,obj2|view_00000|picture frame,obj5|view_00000|stairs,obj6|view_00001|other,obj11|view_00002|rug,obj13|view_00002|picture frame,obj15|view_00003|stairs,obj17|view_00003|couch,obj19|view_00003|rug
obj2|view_00000|picture frame,1.0000,0.0000,0.0000,0.0000,0.6357,0.0000,0.0000,0.0000
obj5|view_00000|stairs,0.0000,1.0000,0.0000,0.0000,0.0000,0.7294,0.0000,0.0000
obj6|view_00001|other,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
obj11|view_00002|rug,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9137
obj13|view_00002|picture frame,0.6357,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
obj15|view_00003|stairs,0.0000,0.7294,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
obj17|view_00003|couch,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
obj19|view_00003|rug,0.0000,0.0000,0.0000,0.9137,0.0000,0.0000,0.0000,1.0000
