label,obj2|view_00000|picture frame,obj5|view_00000|stairs,obj6|view_00001|other,obj11|view_00002|rug,obj13|view_00002|picture frame,obj15|view_00003|stairs,obj17|view_00003|couch,obj19|view_00003|rug
obj2|view_00000|picture frame,1.0000,0.3882,0.4670,0.3835,0.6357,0.3545,0.4416,0.4722
obj5|view_00000|stairs,0.3882,1.0000,0.4297,0.5189,0.5838,0.7294,0.3456,0.5653
obj6|view_00001|other,0.4670,0.4297,1.0000,0.5358,0.4326,0.3762,0.3611,0.5746
obj11|view_00002|rug,0.3835,0.5189,0.5358,1.0000,0.4100,0.4534,0.5941,0.9137
obj13|view_00002|picture frame,0.6357,0.5838,0.4326,0.4100,1.0000,0.4110,0.3482,0.4542
obj15|view_00003|stairs,0.3545,0.7294,0.3762,0.4534,0.4110,1.0000,0.4175,0.4722
obj17|view_00003|couch,0.4416,0.3456,0.3611,0.5941,0.3482,0.4175,1.0000,0.6054
obj19|view_00003|rug,0.4722,0.5653,0.5746,0.9137,0.4542,0.4722,0.6054,1.0000
