object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
side table#532,0.359740,0.277903,0.358213,0.285612,0.353400,0.299838,0.352864,0.345541,0.413395,0.290652,0.295026,0.222880,0.233937,0.298206,0.332933,0.269463,0.340311,0.328547,0.212199,0.287009,0.340803,0.347165,0.206421,0.363979,0.332386,0.429664,0.367485,0.085744,0.079233,0.085222,0.062467,0.091863,0.099169,0.066136,0.075986,0.069905,0.144343,0.137678,0.060870,0.052432,0.141291,1.000000,0.326742,0.318738,0.537292,0.325000,0.556328,0.515017,0.290795,0.404990,0.268709
chair#593,0.361929,0.379725,0.404425,0.432183,0.396078,0.410294,0.311806,0.337140,0.342415,0.369153,0.479102,0.257932,0.287989,0.335156,0.265937,0.302525,0.462791,0.486228,0.240073,0.266502,0.232790,0.527674,0.134891,0.316280,0.377739,0.363425,0.355431,0.477747,0.434733,0.633756,0.527546,0.522929,0.705450,0.378688,0.336191,0.324515,0.233763,0.339080,0.434985,0.565435,0.586778,0.326742,1.000000,0.072596,0.147050,0.231590,0.103884,0.088532,0.086617,0.131443,0.063249
clock#589,0.297978,0.337490,0.246731,0.272687,0.320966,0.336730,0.333535,0.330792,0.349321,0.397689,0.360230,0.160986,0.160691,0.787058,0.345973,0.316561,0.304346,0.479182,0.393290,0.352688,0.751720,0.221269,0.247804,0.224275,0.237011,0.314157,0.260833,0.260276,0.267305,0.276904,0.260298,0.239059,0.223406,0.457005,0.295080,0.260897,0.313346,0.257034,0.234795,0.267489,0.249503,0.318738,0.072596,1.000000,0.057009,0.076084,0.074110,0.072645,0.065306,0.045875,0.077602
couch#588,0.340223,0.321001,0.349209,0.269237,0.312174,0.349642,0.345416,0.325850,0.300533,0.307414,0.315946,0.261030,0.270789,0.253164,0.238721,0.224312,0.262385,0.274957,0.184956,0.243792,0.259388,0.622791,0.140041,0.361111,0.315811,0.350691,0.381714,0.356843,0.376660,0.408874,0.373911,0.384290,0.691611,0.208644,0.264216,0.249119,0.436313,0.509569,0.272793,0.288348,0.652567,0.537292,0.147050,0.057009,1.000000,0.167507,0.125866,0.114406,0.075940,0.112090,0.053479
couch#592,0.383939,0.391425,0.428374,0.449948,0.409930,0.420897,0.346751,0.367573,0.349412,0.375326,0.500443,0.275407,0.300614,0.332420,0.289032,0.308467,0.458653,0.504945,0.241039,0.276648,0.251428,0.577254,0.148048,0.343173,0.378626,0.358788,0.384117,0.503733,0.456792,0.643651,0.542912,0.547247,0.750258,0.383953,0.354423,0.335674,0.251237,0.369336,0.468088,0.575952,0.602060,0.325000,0.231590,0.076084,0.167507,1.000000,0.109117,0.092709,0.094291,0.140418,0.069354
fireplace#594,0.326306,0.320812,0.289476,0.286233,0.296138,0.295067,0.319391,0.320806,0.317897,0.350713,0.211332,0.181141,0.175730,0.242961,0.275561,0.261590,0.259239,0.322016,0.200130,0.227978,0.240140,0.302731,0.190749,0.254556,0.294025,0.356146,0.309264,0.369200,0.317646,0.487731,0.363351,0.442264,0.440937,0.239563,0.285931,0.234506,0.733947,0.768310,0.338462,0.409170,0.560919,0.556328,0.103884,0.074110,0.125866,0.109117,1.000000,0.186462,0.067671,0.119699,0.037180
fireplace#595,0.237236,0.251378,0.212386,0.273343,0.258220,0.232411,0.243949,0.234198,0.273212,0.235831,0.264604,0.248266,0.228943,0.288853,0.238831,0.247474,0.316307,0.356452,0.145890,0.152920,0.262192,0.291067,0.226837,0.292680,0.251945,0.321706,0.290019,0.311830,0.290659,0.401387,0.274893,0.404552,0.433786,0.261544,0.216076,0.244247,0.833876,0.648799,0.299357,0.341269,0.606494,0.515017,0.088532,0.072645,0.114406,0.092709,0.186462,1.000000,0.075764,0.120723,0.064761
side table#587,0.206869,0.282976,0.216100,0.272645,0.222559,0.269917,0.234120,0.225313,0.242107,0.253911,0.460529,0.282358,0.279027,0.321731,0.201664,0.212538,0.377808,0.266318,0.265471,0.182511,0.227467,0.452346,0.248048,0.617152,0.660435,0.536046,0.550648,0.300383,0.318490,0.340700,0.302574,0.279235,0.285007,0.459880,0.211564,0.197274,0.180906,0.203629,0.198365,0.320704,0.375910,0.290795,0.086617,0.065306,0.075940,0.094291,0.067671,0.075764,1.000000,0.114023,0.113252
side table#590,0.362632,0.293708,0.384274,0.464803,0.387276,0.441476,0.391362,0.330465,0.388272,0.268535,0.419939,0.302332,0.275857,0.266205,0.299723,0.258766,0.467672,0.385133,0.233391,0.220348,0.231617,0.376418,0.151623,0.431056,0.387439,0.390373,0.435769,0.474210,0.367710,0.611816,0.506623,0.549874,0.589983,0.303332,0.286584,0.318726,0.350749,0.361098,0.465287,0.467966,0.700073,0.404990,0.131443,0.045875,0.112090,0.140418,0.119699,0.120723,0.114023,1.000000,0.075562
table lamp#591,0.148229,0.193415,0.190356,0.231805,0.237148,0.163047,0.179128,0.218453,0.236370,0.146712,0.379492,0.178445,0.266457,0.399799,0.181514,0.214660,0.387381,0.322736,0.333498,0.159766,0.299964,0.303555,0.181395,0.344333,0.301705,0.333480,0.294289,0.215372,0.145784,0.208028,0.158522,0.195874,0.281820,0.357916,0.193814,0.196621,0.247860,0.146473,0.213543,0.231981,0.270061,0.268709,0.063249,0.077602,0.053479,0.069354,0.037180,0.064761,0.113252,0.075562,1.000000
