1.000000,0.605540,0.804737,0.743192,0.705866,0.616078,0.571875,0.611813,0.546564,0.556852,0.582580,0.699102,0.204246,0.458303,0.543856
0.605540,1.000000,0.669028,0.562349,0.592055,0.531788,0.590565,0.486727,0.440724,0.524773,0.541782,0.608268,0.203249,0.436370,0.506208
0.804737,0.669028,1.000000,0.728391,0.785084,0.587284,0.605762,0.554757,0.531751,0.591599,0.549695,0.634125,0.203716,0.458393,0.537637
0.743192,0.562349,0.728391,1.000000,0.641826,0.520682,0.513228,0.534560,0.483251,0.482448,0.504154,0.656496,0.221711,0.595114,0.763364
0.705866,0.592055,0.785084,0.641826,1.000000,0.693551,0.675627,0.793048,0.771534,0.735683,0.539784,0.638949,0.140212,0.416911,0.529128
0.616078,0.531788,0.587284,0.520682,0.693551,1.000000,0.799879,0.884409,0.833846,0.793542,0.578403,0.600563,0.148675,0.401830,0.404976
0.571875,0.590565,0.605762,0.513228,0.675627,0.799879,1.000000,0.773195,0.749393,0.710198,0.548424,0.581223,0.147431,0.380879,0.386473
0.611813,0.486727,0.554757,0.534560,0.793048,0.884409,0.773195,1.000000,0.931839,0.805373,0.571779,0.610178,0.108238,0.386943,0.434717
0.546564,0.440724,0.531751,0.483251,0.771534,0.833846,0.749393,0.931839,1.000000,0.815983,0.562031,0.581746,0.104641,0.388645,0.406988
0.556852,0.524773,0.591599,0.482448,0.735683,0.793542,0.710198,0.805373,0.815983,1.000000,0.543505,0.570095,0.136830,0.389959,0.390178
0.582580,0.541782,0.549695,0.504154,0.539784,0.578403,0.548424,0.571779,0.562031,0.543505,1.000000,0.615587,0.169504,0.432953,0.428209
0.699102,0.608268,0.634125,0.656496,0.638949,0.600563,0.581223,0.610178,0.581746,0.570095,0.615587,1.000000,0.099002,0.545329,0.548251
0.204246,0.203249,0.203716,0.221711,0.140212,0.148675,0.147431,0.108238,0.104641,0.136830,0.169504,0.099002,1.000000,0.203899,0.207528
0.458303,0.436370,0.458393,0.595114,0.416911,0.401830,0.380879,0.386943,0.388645,0.389959,0.432953,0.545329,0.203899,1.000000,0.755904
0.543856,0.506208,0.537637,0.763364,0.529128,0.404976,0.386473,0.434717,0.406988,0.390178,0.428209,0.548251,0.207528,0.755904,1.000000
