1.000000,0.276620,0.509810,0.219700,0.255754,0.327148,0.444978,0.499791,0.462710,0.276719,0.375597,0.274770,0.454279,0.519020,0.438963,0.548100,0.379212,0.477553,0.473858,0.532214,0.357496,0.281519,0.259017,0.224169,0.424180,0.280240,0.314846,0.193083,0.549298,0.467684,0.347241,0.556617,0.543447,0.499524,0.501873,0.549505,0.302306,0.455385,0.298084,0.453615,0.409831,0.238297,0.347704,0.353273,0.302170,0.354402,0.339876,0.324019,0.216699,0.308622,0.202409
0.276620,1.000000,0.419717,0.201267,0.220763,0.239874,0.342098,0.355832,0.352719,0.301228,0.318663,0.293022,0.414642,0.372591,0.250409,0.369458,0.300660,0.421311,0.379377,0.378961,0.285095,0.310291,0.257363,0.289700,0.360885,0.310396,0.296655,0.214937,0.185269,0.271011,0.293249,0.376342,0.342543,0.339432,0.280990,0.403705,0.217670,0.313215,0.217257,0.275793,0.302073,0.202641,0.260572,0.271330,0.322366,0.317619,0.316224,0.283602,0.205856,0.224988,0.253527
0.509810,0.419717,1.000000,0.357445,0.406756,0.413677,0.678666,0.759287,0.662173,0.365504,0.420976,0.474290,0.740532,0.748099,0.354005,0.845829,0.471296,0.829877,0.743936,0.754418,0.523525,0.424397,0.445689,0.451008,0.573296,0.528522,0.470037,0.312385,0.471015,0.408773,0.576703,0.779446,0.761184,0.803413,0.720128,0.831783,0.424859,0.376443,0.398823,0.394420,0.513689,0.290892,0.485478,0.393385,0.502494,0.509695,0.478232,0.463256,0.335818,0.249364,0.206383
0.219700,0.201267,0.357445,1.000000,0.688168,0.307357,0.357178,0.341668,0.367470,0.367447,0.386348,0.517215,0.363248,0.458443,0.287033,0.409991,0.212429,0.360253,0.376991,0.297165,0.425376,0.399118,0.397030,0.370562,0.271741,0.335325,0.492009,0.553629,0.244184,0.263036,0.541439,0.377619,0.356454,0.317166,0.331665,0.342858,0.252059,0.308412,0.241382,0.320160,0.402740,0.376491,0.411556,0.294209,0.439917,0.443278,0.412703,0.250084,0.325545,0.112496,0.273710
0.255754,0.220763,0.406756,0.688168,1.000000,0.316810,0.441443,0.397148,0.333107,0.311168,0.344786,0.635008,0.435611,0.512480,0.281110,0.454762,0.283822,0.423852,0.439810,0.414371,0.445556,0.296481,0.363336,0.363618,0.338661,0.363840,0.433263,0.667525,0.231244,0.284487,0.544734,0.439515,0.425541,0.372385,0.389439,0.408279,0.259285,0.260845,0.263975,0.288243,0.318399,0.402550,0.372899,0.209462,0.431772,0.392605,0.367639,0.258767,0.354659,0.146461,0.253970
0.327148,0.239874,0.413677,0.307357,0.316810,1.000000,0.355348,0.440804,0.447860,0.273625,0.373428,0.394339,0.541045,0.397545,0.290625,0.423011,0.321873,0.448288,0.523512,0.304064,0.426868,0.292550,0.369458,0.302205,0.399192,0.489227,0.355866,0.197066,0.284010,0.195356,0.525410,0.424372,0.385980,0.317972,0.322619,0.356582,0.342821,0.262943,0.313458,0.311080,0.455335,0.308350,0.315595,0.271349,0.432909,0.300529,0.306361,0.281007,0.361376,0.244578,0.334610
0.444978,0.342098,0.678666,0.357178,0.441443,0.355348,1.000000,0.632252,0.557079,0.339335,0.350980,0.497346,0.604234,0.650352,0.361755,0.627437,0.365402,0.700064,0.563372,0.770101,0.511372,0.310227,0.427744,0.494474,0.528671,0.522578,0.365959,0.412583,0.340051,0.477812,0.520128,0.692793,0.753628,0.763148,0.743157,0.693066,0.311087,0.367135,0.344183,0.310327,0.396927,0.391872,0.458304,0.341428,0.412697,0.535303,0.518571,0.457468,0.358183,0.203757,0.259862
0.499791,0.355832,0.759287,0.341668,0.397148,0.440804,0.632252,1.000000,0.604883,0.355520,0.388055,0.515004,0.663523,0.666512,0.368513,0.684950,0.349719,0.751720,0.652725,0.582689,0.537694,0.385991,0.378891,0.377033,0.392501,0.449470,0.498276,0.260889,0.468850,0.380877,0.511653,0.732766,0.788393,0.679079,0.681865,0.720356,0.363234,0.377385,0.369821,0.403256,0.510468,0.297970,0.496171,0.311900,0.503304,0.521874,0.487630,0.401754,0.290886,0.287806,0.259935
0.462710,0.352719,0.662173,0.367470,0.333107,0.447860,0.557079,0.604883,1.000000,0.362835,0.446314,0.445510,0.658142,0.709228,0.379515,0.624632,0.349505,0.595557,0.683091,0.506358,0.433743,0.390999,0.395053,0.403024,0.487784,0.443331,0.381955,0.258650,0.464877,0.430477,0.573044,0.580309,0.620556,0.625295,0.604518,0.620149,0.381263,0.400466,0.347272,0.445610,0.395729,0.335887,0.363250,0.333490,0.495040,0.381103,0.355664,0.348434,0.330614,0.266457,0.282967
0.276719,0.301228,0.365504,0.367447,0.311168,0.273625,0.339335,0.355520,0.362835,1.000000,0.469116,0.286330,0.388873,0.436610,0.364481,0.362148,0.501896,0.349762,0.445522,0.337432,0.358322,0.807746,0.316062,0.274525,0.373330,0.314280,0.350449,0.363503,0.300800,0.276303,0.402518,0.341263,0.374731,0.351549,0.334619,0.352908,0.383240,0.377203,0.387628,0.363921,0.422058,0.236588,0.350059,0.725657,0.335593,0.380776,0.384644,0.335958,0.400237,0.184798,0.290987
