id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,cur:obj128@view_00019,cur:obj129@view_00019,cur:obj130@view_00019,cur:obj131@view_00019,cur:obj132@view_00019,cur:obj133@view_00019,cur:obj134@view_00019,cur:obj135@view_00019,cur:obj136@view_00019,cur:obj137@view_00019,cur:obj138@view_00019,cur:obj139@view_00019,cur:obj140@view_00019,cur:obj141@view_00019,cur:obj142@view_00019,cur:obj143@view_00019,cur:obj144@view_00019,cur:obj145@view_00019,cur:obj146@view_00019,cur:obj147@view_00019
mem:c12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.503381,0.000000,0.873360,0.000000,0.000000,0.000000,0.673002,0.684253,0.537458,0.000000,0.531117,0.000000,0.678714,0.682445,0.419436,0.867119,0.370594,0.833074,0.720066,0.696865
mem:c13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602324,0.000000,0.593027,0.000000,0.000000,0.000000,0.826932,0.537483,0.463662,0.000000,0.351212,0.357148,0.462628,0.539217,0.000000,0.630747,0.000000,0.663379,0.480448,0.764816
mem:c14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.618558,0.369653,0.000000,0.477619,0.443894,0.484500,0.654884,0.000000,0.000000,0.000000,0.588027,0.538236,0.000000,0.574463,0.543924,0.533934,0.573016,0.506299
mem:c15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.452050,0.000000,0.635050,0.000000,0.000000,0.440948,0.480331,0.598856,0.629672,0.000000,0.431999,0.000000,0.804859,0.645028,0.463687,0.617260,0.455777,0.644987,0.706028,0.504416
mem:c16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421845,0.000000,0.573625,0.403956,0.000000,0.467994,0.544886,0.555713,0.780747,0.000000,0.426074,0.000000,0.761811,0.726241,0.426846,0.577925,0.498410,0.554621,0.698912,0.486309
mem:c17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.365773,0.000000,0.665489,0.000000,0.000000,0.397735,0.515735,0.609957,0.549602,0.000000,0.000000,0.000000,0.567057,0.555540,0.000000,0.592617,0.429243,0.582951,0.552572,0.552604
mem:c18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755834,0.512833,0.474315,0.000000,0.000000,0.000000,0.000000,0.000000,0.376131,0.355952,0.386171,0.000000,0.000000,0.354890,0.000000,0.000000,0.000000
mem:c19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.635390,0.000000,0.000000,0.402175,0.479763,0.611822,0.534307,0.000000,0.000000,0.000000,0.568442,0.500472,0.000000,0.564106,0.423649,0.590339,0.542828,0.467790
mem:c20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.572901,0.000000,0.644840,0.000000,0.000000,0.000000,0.679465,0.663706,0.506675,0.000000,0.444512,0.375196,0.523788,0.613005,0.372075,0.683856,0.000000,0.718166,0.539372,0.595740
mem:c21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.401912,0.000000,0.427879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820874,0.000000,0.454791,0.547157,0.619774,0.492724,0.000000,0.459274,0.513373,0.000000
