id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c7,mem:c8,mem:c9,mem:c11,mem:c12,mem:c13,mem:c14,mem:c16,mem:c17,mem:c19,mem:c20,mem:c21,mem:c22
cur:obj518@view_00058,0.253702,0.343830,0.368224,0.457136,0.305893,0.388371,0.601992,0.380276,0.256538,0.246712,0.467410,0.427815,0.302680,0.389566,0.323449,0.310989,0.302767,0.284012,0.199143
cur:obj519@view_00058,0.162952,0.342875,0.320172,0.628238,0.467697,0.320625,0.398730,0.230113,0.392394,0.271970,0.272219,0.340112,0.171805,0.398815,0.230218,0.538454,0.277084,0.285221,0.120804
cur:obj520@view_00058,0.463578,0.376652,0.399610,0.224631,0.165323,0.292465,0.468910,0.451355,0.256258,0.196237,0.368596,0.386885,0.462491,0.311447,0.357655,0.342159,0.272620,0.151275,0.209982
cur:obj521@view_00058,0.372419,0.364825,0.361753,0.314685,0.204718,0.299009,0.473336,0.481054,0.209937,0.206844,0.418651,0.420922,0.424342,0.396396,0.305616,0.468977,0.190472,0.275580,0.223386
cur:obj522@view_00058,0.276959,0.347853,0.485252,0.437302,0.385286,0.440034,0.566904,0.484953,0.285485,0.314754,0.532740,0.595467,0.325259,0.347163,0.401343,0.436407,0.284312,0.406664,0.208935
cur:obj523@view_00058,0.458459,0.427551,0.654699,0.303623,0.310034,0.368710,0.592486,0.535703,0.287866,0.352885,0.539859,0.551410,0.335695,0.368564,0.627082,0.533022,0.287002,0.322835,0.150893
cur:obj524@view_00058,0.474160,0.404902,0.712770,0.267743,0.301088,0.297863,0.597610,0.528412,0.307307,0.360248,0.596477,0.633270,0.438916,0.287751,0.680193,0.527743,0.262058,0.335725,0.186569
cur:obj525@view_00058,0.396555,0.356050,0.592911,0.334216,0.266925,0.366974,0.636141,0.584284,0.259234,0.347537,0.527084,0.595572,0.307667,0.424387,0.528151,0.602094,0.237348,0.332085,0.152403
cur:obj526@view_00058,0.400295,0.335411,0.627040,0.261117,0.273860,0.285047,0.559157,0.510065,0.275569,0.329632,0.471356,0.513378,0.297483,0.309896,0.535895,0.516476,0.274954,0.284108,0.184170
cur:obj527@view_00058,0.449958,0.397337,0.656742,0.271348,0.288045,0.312402,0.586833,0.508495,0.282863,0.340786,0.470579,0.521055,0.266081,0.361750,0.574549,0.522571,0.311852,0.300724,0.181611
cur:obj528@view_00058,0.263716,0.266446,0.326290,0.200390,0.187573,0.270531,0.314928,0.321961,0.270896,0.213251,0.393026,0.418176,0.313911,0.328322,0.322971,0.248921,0.298703,0.214259,0.306720
cur:obj529@view_00058,0.427136,0.515314,0.424680,0.246888,0.190647,0.220993,0.374607,0.405877,0.289065,0.193158,0.471404,0.520603,0.748316,0.300485,0.404258,0.363973,0.288348,0.230022,0.185190
cur:obj530@view_00058,0.245721,0.292563,0.312722,0.194550,0.191876,0.249074,0.352144,0.298885,0.272626,0.204949,0.353205,0.412445,0.312262,0.264026,0.286795,0.301815,0.268718,0.196350,0.218061
cur:obj531@view_00058,0.427562,0.519658,0.423220,0.255726,0.209667,0.255037,0.378064,0.436490,0.280486,0.177223,0.494952,0.555123,0.753595,0.284210,0.393618,0.337528,0.244666,0.220012,0.198168
cur:obj532@view_00058,0.304966,0.345558,0.399973,0.317123,0.224287,0.365897,0.415711,0.361576,0.296586,0.234442,0.437226,0.490057,0.329669,0.359924,0.356646,0.351792,0.344238,0.343508,0.252238
